customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Flag,usage_drop,low_engagement,recent_risk,churn_risk_score,customer_value,action_segment,revenue_at_risk
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0,0.02777777777777779,0.5827368421052632,0.02777777777777779,19.42654970760234,4844.0,Low Risk,941.0220678362574
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0,0.7638888888888888,0.17473684210526316,0.7638888888888888,58.71432748538011,352.75,Low Risk,207.11479020467834
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0,0.125,0.6724210526315789,0.125,28.922631578947367,5030.549999999999,Low Risk,1454.9674428947365
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,0,0.8194444444444444,0.6416842105263159,0.8194444444444444,76.61163742690059,990.6,High Risk - Low Value,758.9148803508772
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,0,0.3194444444444444,0.7115789473684211,0.3194444444444444,43.70847953216374,4140.5,Low Risk,1809.7495950292398
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0,0.9722222222222222,0.4147368421052632,0.9722222222222222,80.49766081871344,98.5,High Risk - Low Value,79.29019590643274
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,0.9722222222222222,0.6791578947368422,0.9722222222222222,88.43029239766082,161.3,High Risk - Low Value,142.63806163742692
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0,0.2777777777777778,0.671578947368421,0.2777777777777778,39.591812865497076,4147.0,Low Risk,1641.8724795321639
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,0,0.04166666666666663,0.5402105263157895,0.04166666666666663,19.12298245614035,4426.35,Low Risk,846.4501339473685
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0,0.4027777777777778,0.76,0.4027777777777778,50.99444444444444,3880.75,Low Risk,1978.9669027777777
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,0.7916666666666666,0.8345263157894737,0.7916666666666666,80.45245614035088,1486.5,High Risk - High Value,1195.9257605263158
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,0,0.6527777777777778,0.5852631578947368,0.6527777777777778,63.252339181286544,1737.5,Low Risk,1099.0093932748537
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,0.8888888888888888,0.6791578947368422,0.8888888888888888,82.59695906432749,645.2,High Risk - Low Value,532.915579883041
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,0,0.16666666666666663,0.6303157894736842,0.16666666666666663,30.576140350877186,4491.0,Low Risk,1373.1744631578943
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,0.75,0.8037894736842105,0.75,76.61368421052632,1718.1000000000001,High Risk - High Value,1316.2997084210526
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,0,0.125,0.8391578947368421,0.125,33.924736842105254,6277.950000000001,Low Risk,2129.778016578947
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0,0.08333333333333337,0.9132631578947369,0.08333333333333337,33.23122807017544,7157.7,Low Risk,2378.5916115789473
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0,0.5277777777777778,0.21010526315789474,0.5277777777777778,43.24760233918129,848.3,Low Risk,366.8694106432749
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0,0.0,0.9052631578947369,0.0,27.157894736842103,7740.0,Low Risk,2102.0210526315786
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0,0.3472222222222222,0.8463157894736842,0.3472222222222222,49.695029239766086,4723.5,Low Risk,2347.3447061403513
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,0,0.16666666666666663,0.7570526315789474,0.16666666666666663,34.37824561403509,5394.0,Low Risk,1854.3625684210526
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,0,0.0,0.3545263157894737,0.0,10.635789473684211,3031.2000000000003,Low Risk,322.3920505263158
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,0,0.75,0.45810526315789474,0.75,66.24315789473685,979.1999999999999,Low Risk,648.6530021052632
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,0.875,0.7949473684210526,0.875,85.0984210526316,849.6,High Risk - Low Value,722.996185263158
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0,0.9583333333333334,0.6341052631578947,0.9583333333333334,86.10649122807018,225.89999999999998,High Risk - Low Value,194.51456368421051
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,0,0.3472222222222222,0.664421052631579,0.3472222222222222,44.23818713450293,3708.3,Low Risk,1640.4846935087724
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,0,0.5694444444444444,0.6669473684210526,0.5694444444444444,59.86953216374269,2455.2000000000003,Low Risk,1469.9167536842106
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,0,0.3055555555555556,0.16968421052631577,0.3055555555555556,26.479415204678364,1007.4999999999999,Low Risk,266.7801081871345
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0,0.8611111111111112,0.6724210526315789,0.8611111111111112,80.45040935672516,798.5,High Risk - Low Value,642.3965187134504
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0,0.9861111111111112,0.41305263157894734,0.9861111111111112,81.4193567251462,49.05,High Risk - Low Value,39.93619447368421
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0,0.2777777777777778,0.17178947368421052,0.2777777777777778,24.598128654970758,1060.8,Low Risk,260.9369487719298
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,0,0.11111111111111116,0.9397894736842105,0.11111111111111116,35.97146198830409,7142.4,Low Risk,2569.2257010526314
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,0.13888888888888884,0.20421052631578948,0.13888888888888884,15.848538011695904,1503.5,Low Risk,238.2827690058479
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0,0.9583333333333334,0.5431578947368421,0.9583333333333334,83.3780701754386,193.5,High Risk - Low Value,161.33656578947367
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,0,0.2222222222222222,0.9305263157894736,0.2222222222222222,43.471345029239764,6188.0,Low Risk,2690.0068304093566
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,0,0.36111111111111116,0.4686315789473684,0.36111111111111116,39.33672514619883,2559.9,Low Risk,1006.9808270175439
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0,0.8888888888888888,0.46021052631578946,0.8888888888888888,76.02853801169591,437.2,High Risk - Low Value,332.3967681871345
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0,0.5833333333333333,0.6294736842105263,0.5833333333333333,59.71754385964911,2242.5,Low Risk,1339.1659210526313
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,0,0.375,0.21810526315789472,0.375,32.793157894736844,1165.5,Low Risk,382.20425526315796
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,0.9861111111111112,0.6682105263157895,0.9861111111111112,89.07409356725147,79.35,High Risk - Low Value,70.68029324561404
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0,0.8472222222222222,0.4256842105263158,0.8472222222222222,72.07608187134504,556.05,High Risk - Low Value,400.7790532456141
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,0.9027777777777778,0.632842105263158,0.9027777777777778,82.17970760233919,526.0500000000001,High Risk - Low Value,432.30635184210536
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,0,0.41666666666666663,0.8741052631578947,0.41666666666666663,55.389824561403515,4359.599999999999,Low Risk,2414.7747915789473
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0,0.3194444444444444,0.16968421052631577,0.3194444444444444,27.451637426900582,987.3499999999999,Low Risk,271.04374213450285
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0,0.875,0.8362105263157894,0.875,86.33631578947367,893.6999999999999,High Risk - Low Value,771.5876542105261
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,0,0.5138888888888888,0.5233684210526316,0.5138888888888888,51.67327485380117,2175.25,Low Risk,1124.02291125731
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0,0.33333333333333337,0.17389473684210524,0.33333333333333337,28.550175438596494,991.1999999999999,Low Risk,282.9893389473684
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,0,0.36111111111111116,0.16799999999999998,0.36111111111111116,30.31777777777778,917.6999999999999,Low Risk,278.22624666666667
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,0,0.5972222222222222,0.28421052631578947,0.5972222222222222,50.33187134502924,978.75,Low Risk,492.6231907894737
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,0,0.5833333333333333,0.6909473684210526,0.5833333333333333,61.5617543859649,2461.5,Low Risk,1515.3425842105262
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,0,0.9861111111111112,0.6290526315789474,0.9861111111111112,87.89935672514622,74.7,High Risk - Low Value,65.66081947368423
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,0,0.08333333333333337,0.7073684210526315,0.08333333333333337,27.05438596491228,5544.0,Low Risk,1499.895157894737
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,0,0.09722222222222221,0.9351578947368421,0.09722222222222221,34.86029239766082,7218.25,Low Risk,2516.303055994152
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,0,0.0,0.8496842105263158,0.0,25.490526315789474,7264.8,Low Risk,1851.8357557894738
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,0.8333333333333334,0.6648421052631579,0.8333333333333334,78.27859649122807,947.4000000000001,High Risk - Low Value,741.6114231578948
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,0,0.01388888888888884,0.5629473684210525,0.01388888888888884,17.860643274853793,4746.349999999999,Low Risk,847.7286420760229
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,0.9305555555555556,0.17726315789473684,0.9305555555555556,70.456783625731,105.25,High Risk - Low Value,74.15576476608187
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,0,0.2777777777777778,0.17684210526315788,0.2777777777777778,24.749707602339182,1092.0,Low Risk,270.2668070175439
